created_at,entry_id,field1,field2
2018-11-28 16:07:45 UTC,63,52,"538

"
2018-11-28 16:08:02 UTC,64,52,"540

"
2018-11-28 16:08:18 UTC,65,52,"536

"
2018-11-28 16:08:34 UTC,66,52,"538

"
2018-11-28 16:08:51 UTC,67,52,"538

"
2018-11-28 16:09:08 UTC,68,52,"541

"
2018-11-28 16:09:24 UTC,69,52,"537

"
2018-11-28 16:09:41 UTC,70,52,"538

"
2018-11-28 16:09:58 UTC,71,52,"538

"
2018-11-28 16:10:15 UTC,72,52,"540

"
2018-11-28 16:10:32 UTC,73,52,"538

"
2018-11-28 16:10:48 UTC,74,52,"538

"
2018-11-28 16:11:05 UTC,75,52,"541

"
2018-11-28 16:11:22 UTC,76,52,"538

"
2018-11-28 16:11:39 UTC,77,52,"540

"
2018-11-28 16:11:58 UTC,78,52,"541

"
2018-11-28 16:12:17 UTC,79,52,"537

"
2018-11-28 16:12:34 UTC,80,52,"540

"
2018-11-28 16:12:50 UTC,81,52,"540

"
2018-11-28 16:13:09 UTC,82,52,"540

"
2018-11-28 16:13:28 UTC,83,52,"541

"
2018-11-28 16:13:44 UTC,84,52,"541

"
2018-11-28 16:14:01 UTC,85,52,"541

"
2018-11-28 16:14:17 UTC,86,52,"540

"
2018-11-28 16:14:33 UTC,87,52,"540

"
2018-11-28 16:14:49 UTC,88,52,"541

"
2018-11-28 16:15:06 UTC,89,52,"540

"
2018-11-28 16:15:23 UTC,90,52,"540

"
2018-11-28 16:15:39 UTC,91,52,"540

"
2018-11-28 16:15:56 UTC,92,52,"540

"
2018-11-28 16:16:13 UTC,93,52,"540

"
2018-11-28 16:16:33 UTC,94,52,"538

"
2018-11-28 16:16:51 UTC,95,52,"538

"
2018-11-28 16:17:07 UTC,96,52,"541

"
2018-11-28 16:17:23 UTC,97,52,"541

"
2018-11-28 16:17:40 UTC,98,52,"541

"
2018-11-28 16:17:57 UTC,99,52,"542

"
2018-11-28 16:18:13 UTC,100,52,"542

"
2018-11-28 16:18:29 UTC,101,52,"541

"
2018-11-28 16:18:45 UTC,102,52,"541

"
2018-11-28 16:19:02 UTC,103,52,"541

"
2018-11-28 16:19:19 UTC,104,52,"541

"
2018-11-28 16:19:34 UTC,105,52,"538

"
2018-11-28 16:19:51 UTC,106,53,"544

"
2018-11-28 16:20:07 UTC,107,53,"544

"
2018-11-28 16:20:23 UTC,108,53,"545

"
2018-11-28 16:20:39 UTC,109,53,"543

"
2018-11-28 16:20:59 UTC,110,53,"544

"
2018-11-28 16:21:16 UTC,111,53,"544

"
2018-11-28 16:21:33 UTC,112,52,"538

"
2018-11-28 16:21:50 UTC,113,53,"545

"
2018-11-28 16:22:07 UTC,114,53,"546

"
2018-11-28 16:22:23 UTC,115,53,"544

"
2018-11-28 16:22:39 UTC,116,53,"546

"
2018-11-28 16:22:55 UTC,117,53,"544

"
2018-11-28 16:23:12 UTC,118,53,"545

"
2018-11-28 16:23:29 UTC,119,53,"546

"
2018-11-28 16:23:49 UTC,120,53,"545

"
2018-11-28 16:24:06 UTC,121,53,"544

"
2018-11-28 16:24:22 UTC,122,53,"545

"
2018-11-28 16:24:38 UTC,123,53,"544

"
2018-11-28 16:24:55 UTC,124,53,"544

"
2018-11-28 16:25:11 UTC,125,53,"545

"
2018-11-28 16:25:28 UTC,126,53,"543

"
2018-11-28 16:25:45 UTC,127,53,"544

"
2018-11-28 16:26:02 UTC,128,53,"544

"
2018-11-28 16:26:18 UTC,129,53,"544

"
2018-11-28 16:26:34 UTC,130,53,"544

"
2018-11-28 16:26:54 UTC,131,53,"544

"
2018-11-28 16:27:10 UTC,132,53,"544

"
2018-11-28 16:27:27 UTC,133,53,"545

"
2018-11-28 16:27:45 UTC,134,53,"544

"
2018-11-28 16:28:02 UTC,135,53,"545

"
2018-11-28 16:28:18 UTC,136,53,"545

"
2018-11-28 16:28:36 UTC,137,53,"545

"
2018-11-28 16:28:52 UTC,138,53,"545

"
2018-11-28 16:29:08 UTC,139,53,"545

"
2018-11-28 16:29:47 UTC,140,53,"544

"
2018-11-28 16:30:03 UTC,141,53,"545

"
2018-11-28 16:30:19 UTC,142,53,"545

"
2018-11-28 16:30:37 UTC,143,53,"544

"
2018-11-28 16:30:54 UTC,144,53,"545

"
2018-11-28 16:31:10 UTC,145,53,"544

"
2018-11-28 16:31:29 UTC,146,53,"546

"
2018-11-28 16:32:11 UTC,147,53,"546

"
2018-11-28 16:32:27 UTC,148,53,"545

"
2018-11-28 16:32:43 UTC,149,53,"545

"
2018-11-28 16:33:08 UTC,150,53,"545

"
2018-11-28 16:33:46 UTC,151,53,"545

"
2018-11-28 16:34:22 UTC,152,53,"546

"
2018-11-28 16:34:38 UTC,153,53,"546

"
2018-11-28 16:34:55 UTC,154,53,"547

"
2018-11-28 16:35:18 UTC,155,53,"544

"
2018-11-28 16:35:35 UTC,156,53,"546

"
2018-11-28 16:35:51 UTC,157,53,"545

"
2018-11-28 16:36:11 UTC,158,53,"546

"
2018-11-28 16:36:29 UTC,159,53,"546

"
2018-11-28 16:36:45 UTC,160,53,"545

"
2018-11-28 16:37:02 UTC,161,53,"544

"
2018-11-28 16:37:21 UTC,162,53,"544

"
